sample_id	core_old	exp	season	depth	soil_volume	vol_water_content	ch4	co2	moisture_gravimetric	orgN	orgC	c_n	δn15	δc13
BH2_8	BH2	SSHE	Summer	8	2.8	31	0	5.2	25	0.16	2.13	13.6	1.7	26.3
BH2_38	BH2	SSHE	Summer	38	3	26.3	0	7.2	23	0.22	2.62	12	3.3	26.4
BH2_84	BH2	SSHE	Summer	84	3	37.2	0.019	12.1	26	0.16	3.32	20.2	4.5	26.8
BH2_146	BH2	SSHE	Summer	146	3	24.8	0.004	5.8	20	0.08	0.7	8.9	0.7	25.3
BH2_195	BH2	SSHE	Summer	195	2.5	26	0.003	0.012	21	0.06	0.55	9.2	4.2	25.3
BH2_225	BH2	SSHE	Summer	225	2	28.5	0.061	0.085	23	0.03	0.31	9.6	4.2	24.9
BH1_23	BH1	SSLE	Summer	23	2.8	38.4	0	4.1	25	0.09	1.37	15.5	2.4	26.4
BH1_56	BH1	SSLE	Summer	56	2.8	32.4	0	4.9	23	0.07	1.06	14.2	3.2	26
BH1_68	BH1	SSLE	Summer	68	3	32.9	0	5.8	24	0.1	1.32	13	3.1	26.8
BH1_86	BH1	SSLE	Summer	86	2.8	41.5	0	4.8	32	0.11	1.45	13.5	3.1	27
BH1_105	BH1	SSLE	Summer	106	2.7	35.8	0.043	7.6	29	0.17	2.5	14.3	2.6	26.7
BH1_162	BH1	SSLE	Summer	166	3	35	0.274	5.2	32	0.31	4.03	12.9	2.7	0
BH1_185	BH1	SSLE	Summer	186	3	27.5	1.967	4.8	26	0.09	1.01	11.5	0.4	25.6
BH1_259	BH1	SSLE	Summer	259	3	27.2	1.051	1.1	26	0.18	2.1	11.5	2.6	25.6
BH1_295	BH1	SSLE	Summer	295	3	27.6	1.572	3	27	0.21	2.33	11	1.8	25.9
BH1_305	BH1	SSLE	Summer	305	3	28.9	1.439	2.6	28	0.07	0.95	12.6	0.5	26
BH6_50	BH6	WSLE	Winter	50	2	22	0.008	0.8	15	0.03	0.51	15.06	2.98	26.17
BH6_100	BH6	WSLE	Winter	100	1.5	28	0.059	0	27	0.19	2.45	12.89	4.5	27.08
BH6_162	BH6	WSLE	Winter	162	3.5	30	0.047	7.7	24	0.09	1.05	11.61	2.98	25.68
BH6_198	BH6	WSLE	Winter	198	3.3	25	0.474	0	28	0.09	1.1	12.5	4.25	25.99
BH6_285	BH6	WSLE	Winter	285	3.3	28	2.279	0	25	0.06	0.57	9.88	7.24	25.06
BH6_345	BH6	WSLE	Winter	345	3.7	29	1.539	2.7	21	0.06	0.63	10.48	1.28	24.66
BH6_535	BH6	WDLE	Winter	535	3.3	30	3.017	0	27	0.16	1.63	10.46	1.9	25.46
BH6_564	BH6	WDLE	Winter	564	3.75	31	1.465	3.9	24	0.08	0.86	10.31	1.75	25.13
BH6_655	BH6	WDLE	Winter	655	3.6	26	1.194	0	21	0.07	0.76	10.62	3.44	24.98
BH6_695	BH6	WDLE	Winter	695	3.8	25	0.4	3.9	18	0.06	0.66	10.73	2.95	25.25
BH6_711	BH6	WDLE	Winter	711	3.4	26	0.044	0	18	0.07	0.77	11.13	2.82	25.07
