kingdom,phylum,class,order,family,genus,23_BH1,56_BH1,68_BH1,86_BH1,106_BH1,166_BH1,186_BH1,259_BH1,295_BH1,305_BH1,8_BH2,38_BH2,84_BH2,146_BH2,195_BH2,225_BH2,50_BH6,100_BH6,162_BH6,198_BH6,285_BH6,345_BH6,535_BH6,564_BH6,655_BH6,695_BH6,711_BH6
Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,Methylomirabilaceae,Sh765B-TzT-35,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,23,0,0,0,0,0,0,0,0
Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,WX65,WX65,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Methyloligellaceae,0,0,0,84,0,41,63,0,46,85,58,0,35,0,0,0,0,81,0,109,98,69,586,300,1503,999,3138
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilaceae,0,30,48,37,238,14,0,9,16,14,0,0,0,0,0,0,126,0,1189,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonadaceae,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Crenothrix,0,0,0,15,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylobacter,53,1707,600,361,350,124,26,126,198,192,136,565,0,253,255,659,406,176,1009,109,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilaceae,0,2,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanoperedenaceae,Candidatus_Methanoperedens,0,192,969,72,1832,105,27,215,736,692,0,0,10,4488,1361,1265,0,0,316,3,0,0,0,0,0,0,0
