kingdom,phylum,class,order,family,genus
Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,Methylomirabilaceae,Sh765B-TzT-35
Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,WX65,WX65
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Methyloligellaceae
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilaceae
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonadaceae
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Crenothrix
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylobacter
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilaceae
Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanoperedenaceae,Candidatus_Methanoperedens
